event_timestamp,type,peer,details_totalPeers,details_avgScore,details_bannedPeers,details_disconnectedPeers,details_healthyPeers,details_bannedPercent,details_disconnectedPercent,details_needMorePeers,details_willDisconnect,details_disconnectReasons,details_attnetQueries,details_syncnetQueries,details_custodyQueries,details_isStarved,details_starvedSlots,details_headSlotGap,details_currentSlot,details_peerHeadSlot,details_peersToConnect,details_custodyGroups
2026-01-07T20:01:58.954Z,RPC_OUT_REQUEST,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.955Z,PEER_PING_ROUNDTRIP,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.956Z,PEER_STATUS,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.959Z,PROTOCOL_NEGOTIATED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.959Z,RPC_IN_REQUEST,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:59.034Z,PEER_PING_RECEIVED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:59.034Z,RPC_OUT_REQUEST,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:59.034Z,PEER_PING_ROUNDTRIP,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:59.035Z,PROTOCOL_NEGOTIATED,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:59.035Z,RPC_IN_REQUEST,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:59.137Z,PEER_METADATA,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:59.137Z,RPC_OUT_REQUEST,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
